LECROYWS452,17453,Waveform
Segments,1,SegmentSize,4998
Segment,TrigTime,TimeSinceSegment1
#1,17-Dec-2014 16:14:11,0                 
Time,Ampl
2.136939e-006,1.52937
2.137939e-006,1.52937
2.138939e-006,1.56062
2.139939e-006,1.49812
2.140939e-006,1.545
2.141939e-006,1.52937
2.142939e-006,1.57625
2.143939e-006,1.51375
2.144939e-006,1.52937
2.145939e-006,1.56062
2.146939e-006,1.49812
2.147939e-006,1.545
2.148939e-006,1.52937
2.149939e-006,1.56062
2.150939e-006,1.49812
2.151939e-006,1.52937
2.152939e-006,1.51375
2.153939e-006,1.56062
2.154939e-006,1.545
2.155939e-006,1.4825
2.156939e-006,1.56062
2.157939e-006,1.49812
2.158939e-006,1.52937
2.159939e-006,1.51375
2.160939e-006,1.49812
2.161939e-006,1.545
2.162939e-006,1.51375
2.163939e-006,1.56062
2.164939e-006,1.49812
2.165939e-006,1.52937
2.166939e-006,1.4825
2.167939e-006,1.545
2.168939e-006,1.4825
2.169939e-006,1.49812
2.170939e-006,1.52937
2.171939e-006,1.52937
2.172939e-006,1.49812
2.173939e-006,1.46687
2.174939e-006,1.49812
2.175939e-006,1.46687
2.176939e-006,1.49812
2.177939e-006,1.51375
2.178939e-006,1.49812
2.179939e-006,1.51375
2.180939e-006,1.56062
2.181939e-006,1.545
2.182939e-006,1.51375
2.183939e-006,1.49812
2.184939e-006,1.49812
2.185939e-006,1.545
2.186939e-006,1.49812
2.187939e-006,1.49812
2.188939e-006,1.51375
2.189939e-006,1.51375
2.190939e-006,1.46687
2.191939e-006,1.52937
2.192939e-006,1.52937
2.193939e-006,1.52937
2.194939e-006,1.4825
2.195939e-006,1.51375
2.196939e-006,1.52937
2.197939e-006,1.49812
2.198939e-006,1.46687
2.199939e-006,1.51375
2.200939e-006,1.49812
2.201939e-006,1.4825
2.202939e-006,1.51375
2.203939e-006,1.4825
2.204939e-006,1.49812
2.205939e-006,1.51375
2.206939e-006,1.45125
2.207939e-006,1.545
2.208939e-006,1.4825
2.209939e-006,1.4825
2.210939e-006,1.49812
2.211939e-006,1.49812
2.212939e-006,1.51375
2.213939e-006,1.4825
2.214939e-006,1.51375
2.215939e-006,1.4825
2.216939e-006,1.52937
2.217939e-006,1.52937
2.218939e-006,1.49812
2.219939e-006,1.4825
2.220939e-006,1.49812
2.221939e-006,1.4825
2.222939e-006,1.51375
2.223939e-006,1.49812
2.224939e-006,1.49812
2.225939e-006,1.49812
2.226939e-006,1.49812
2.227939e-006,1.49812
2.228939e-006,1.51375
2.229939e-006,1.4825
2.230939e-006,1.49812
2.231939e-006,1.51375
2.232939e-006,1.45125
2.233939e-006,1.51375
2.234939e-006,1.52937
2.235939e-006,1.46687
2.236939e-006,1.49812
2.237939e-006,1.52937
2.238939e-006,1.4825
2.239939e-006,1.49812
2.240939e-006,1.4825
2.241939e-006,1.52937
2.242939e-006,1.49812
2.243939e-006,1.49812
2.244939e-006,1.51375
2.245939e-006,1.4825
2.246939e-006,1.46687
2.247939e-006,1.51375
2.248939e-006,1.49812
2.249939e-006,1.49812
2.250939e-006,1.51375
2.251939e-006,1.43562
2.252939e-006,1.49812
2.253939e-006,1.4825
2.254939e-006,1.49812
2.255939e-006,1.4825
2.256939e-006,1.49812
2.257939e-006,1.51375
2.258939e-006,1.46687
2.259939e-006,1.49812
2.260939e-006,1.46687
2.261939e-006,1.51375
2.262939e-006,1.4825
2.263939e-006,1.49812
2.264939e-006,1.49812
2.265939e-006,1.4825
2.266939e-006,1.4825
2.267939e-006,1.46687
2.268939e-006,1.545
2.269939e-006,1.49812
2.270939e-006,1.49812
2.271939e-006,1.51375
2.272939e-006,1.4825
2.273939e-006,1.51375
2.274939e-006,1.52937
2.275939e-006,1.49812
2.276939e-006,1.4825
